Project,Project Link,Size,Organization,Manufactured (AIVT) by,Costs,Source,Funded primarily by
Startical,../sat/startical.html,16U,Startical,GomSpace,€14.5 million for the whole project including 3 spacecraft.,https://gomspace.com/news/gomspace-has-been-chosen-to-develop-advanced-.aspx,
GEMS (Orbital Micro Systems),../sat/gems-orbital-micro-systems.html,3U,Orbital Micro Systems,AAC Clyde Space,"$1,880,000 for four 3U IOD Mission platforms",,UK Satellite Applications Catapult
IonSat,../sat/ionsat.html,6U,Ecole Polytechnique,In-house,Budget total estimate: 1.4 M€.,https://www.polytechnique.edu/recherche/chaires/les-chaires-de-transports-mobilites-et-espace/mecenat-denseignement-espace-science-et-defis-du-spatial/centre-spatial-de-lecole-polytechnique/ionsat,
Juventas,../sat/juventas.html,6U,ESA (European Space Agency),GomSpace,$13 million to deliver spacecraft and payloads.,https://spacewatch.global/2020/08/esa-and-gomspace-sign-contract-for-implementation-of-the-juventas-cubesat-in-support-of-the-hera-mission/,
Kelpie,../sat/kelpie.html,3U,AAC Clyde Space,AAC Clyde Space,"$5,900,000 for the manufacturing, launch and long-term operations of two CubeSats",http://investor.aacmicrotec.com/pressmeddelanden/aac-microtec-to-deliver-enhanced-ais-data-exclusively-to-orb-70246,
TARS (Kepler),../sat/kepler-tars.html,6U,Kepler Communications,AAC Clyde Space,"$880,000 grant for the mission (actual CubeSat costs unknown)",,UK Satellite Applications Catapult
Kleos Space - Polar Vigilance Mission (KSF1),../sat/kleos-space.html,6U,Kleos Space,ISISpace,$2.5 million for the 4 satellite contract,https://www.satellitetoday.com/launch/2020/10/23/kleos-space-selects-manufacturer-for-polar-vigilance-mission-ksf1-nanosatellite/,
Kleos Scouting Mission (KSM1),../sat/kleos-space.html,6U,Kleos Space,GomSpace,$2.83 million for 4 satellites,https://www.linkedin.com/feed/update/urn:li:activity:6449905862378164224/,
KSS-BOBCAT,../sat/kss-bobcat.html,6U,Kawa Space,AAC Clyde Space,$1.6M,https://www.satelliteevolution.com/post/aac-clyde-space-wins-sek-16-1-m-satellite-order-from-kawa-space,
KuwaitSat-1,../sat/kuwaitsat-1.html,2U,Kuwait University,NanoAvionics,"$970,000",https://english.news.cn/20220916/b70417c860e144e3a13ec34aaa421b69/c.html,Kuwait Foundation for the advancement of Sciences (KFAS)
LLITED,../sat/llited.html,1.5U,Aerospace Corporation,In-house,"$2,520,000 for two spacecraft and mission including launch and operations",https://aerospace.org/press-release/aerospace-awarded-nasa-llited-grant,NASA
Lusiada (LusoSpace),../sat/lusospace-8u.html,8U,LusoSpace,In-house,AAC Clyde Space won a GBP 4.3 M order for 11 satellite kits from LusoSpace.,https://www.aac-clyde.space/articles/interim-report-for-aac-clyde-space-ab-publ-january-march-2024,
M-ARGO,../sat/m-argo.html,12U,ESA (European Space Agency),GomSpace,"$450,000 for Phase-A",https://gomspace.com/news/gomspace-to-design-worlds-first-stand-alone-n.aspx,ESA (European Space Agency)
MACSAT,../sat/macsat.html,6U,OQ Technology,NanoAvionics,$2.4 million,https://www.oqtec.space/news/oq-techsigns-2-million-euro-contract-with-esa,ESA (European Space Agency)Luxembourg
